COD_PRESTAZIONE,COD_ATC5,DESCRIZIONE,QUANTITA,VDS,UM,GG,UNITA_POSOLOGIA,TITOLARE_AIC
0032799025,J01CA12,SEMIPENIL*1F IM 2G+F 4ML,"0000000014,000",P,g,"0,1430000000",1,MAGIS FARMACEUTICI Srl
0032803088,J05AF04,ZERIT*56CPS 40MG,"0000000080,000",O,mg,"28,0000000000",56,BRISTOL-MYERS SQUIBB Srl
0032806010,J01DC06,PARECID 500*IM FL 500MG+F 2ML,"0000000001,000",P,g,,,PROGE FARM Srl
0033257015,L02BB01,FLUTAMIDE SANOFI*30CPR 250MG,"0000000000,750",O,g,,,SANOFI-AVENTIS SpA
0033190024,J01GB06,NEKACIN*IM IV 5F 500MG 2ML,"0000000001,000",P,g,"2,5000000000",5,NEW RESEARCH Srl
0033199035,J01DA17,CEFONICID*EV 1F 1G+F SOLV,"0000000001,000",P,g,,,ELI LILLY ITALIA SpA
0033291016,J01FA02,SPIRAMICINA MY*12CPR RIV3/M UI,"0000000003,000",O,g,"2,9280000000",12,MYLAN SpA
0033207022,L02BA01,TAMOXIFENE SANDOZ*20CPR 20MG,"0000000020,000",O,mg,,20,SANDOZ SpA
0033270024,J01DC06,CEFONICID*IM 1F 500MG+F 2ML,"0000000001,000",P,g,,,FARMACEUTICI T.S. Srl
0032986010,J01DC04,TIBIFOR*8CPS 500MG,"0000000001,000",O,g,,8,LISAPHARMA SpA
0032987012,J01DC06,"AURICID*IM FL 1G+F 2,5ML SOLV","0000000001,000",P,g,,1,DAY FARMA Sas
0033045055,J05AB01,ACICLOVIR DR RED*35CPR 800MG,"0000000004,000",O,g,,35,DR. REDDY'S Srl
0033056021,J01CA12,PIPERACILLINA TEVA*EV 1FL 4G,"0000000014,000",P,g,"0,2860000000",1,TEVA ITALIA Srl
0033058102,L03AB05,VIRAFON*1F 10MUI 1ML,"0000000002,000",P,MU,,,SCHERING PLOUGH Srl
0033247014,J07BC02,"AVAXIM*IM 1SIR 0,5ML","0000000001,000",P,f,"1,0000000000",1,SANOFI SpA
0033247038,J07BC02,"AVAXIM*INIET 1SIR 0,5ML S/AGO",,,,,1,SANOFI SpA
0033634078,J01MA12,TAVANIC*INFUS 1FL 250MG 50ML,"0000000000,500",P,g,"0,5000000000",1,SANOFI SpA
0033634093,J01MA12,TAVANIC*14CPR RIV 500MG,"0000000000,500",O,g,"14,0000000000",14,SANOFI SpA
0033342041,J07CA05,"INFANRIX HEPB*IM 10SIR 0,5ML C",,,,,10,GLAXOSMITHKLINE SpA
0033346014,L01XA01,CISPLATINO SAND*EV 10MG 20ML,"0000000006,500",P,mg,"1,5380000000",1,SANDOZ SpA
0033351026,J01CA12,PERASINT*IM F 2G+F 4ML,"0000000014,000",P,g,,1,ACS DOBFAR SpA
0033576024,J01DC06,CEFONICID EG*IM 1F 1G,"0000000001,000",P,g,"1,0000000000",1,EG SpA
0033356039,J01DB03,CEFALOTINA BIOPH*INIET 100F1G,"0000000004,000",P,g,,,BIOPHARMA Srl
0033477023,J01DB05,FOXIL*12CPR DIV 1G,"0000000002,000",O,g,,12,I.BIR.N Srl Ist.Biot.Nazionale
0033478049,L01BA01,METOTRESSATO FIDIA*FL 10ML/250,,,,,1,FIDIA FARMACEUTICI SpA
0033494028,J01DC06,"CLASTIDIN*IM FL 1G+F 2,5ML","0000000001,000",P,g,,1,LA FARMOCHIMICA ITALIANA Srl
0033417015,J01DC06,"LAMPOCEF*IM 1F 1G+F 2,5ML","0000000001,000",P,g,,1,LAMPUGNANI FARMACEUTICI SpA
0033419021,J01DC06,"VALECID*IM FL 1G+F SOLV 2,5ML","0000000001,000",P,g,"1,0000000000",1,MEDIFARMA Srl
0033508019,J01DC04,CEFACLORO SANDOZ*8CPS 500MG,"0000000001,000",O,g,"4,0000000000",8,SANDOZ SpA
0033306034,L01XX17,HYCAMTIN*INFUS IV 1FL 4MG,"0000000000,500",P,mg,"8,0000000000",1,NOVARTIS FARMA SpA
0033425024,J01CA06,"BAKAM*12CPR RIV 1,2G","0000000001,200",O,g,"12,0000000000",12,SIGMATAU GENERICS Srl
0033432028,J01DB09,CEFRADINA K24*INIET 50F 1G,"0000000002,000",P,g,,50,K24 PHARMACEUTICALS Srl
0033434010,J01DC06,CEFONICID K24*IM FL 500MG+F2ML,"0000000001,000",P,g,,1,K24 PHARMACEUTICALS Srl
0033434034,J01DC06,CEFONICID K24*INIETT 100FL500M,"0000000001,000",P,g,,100,K24 PHARMACEUTICALS Srl
0033434061,J01DC06,CEFONICID K24*INIETT 100FL 1G,"0000000001,000",P,g,,100,K24 PHARMACEUTICALS Srl
0033624014,J01CF05,FARECLOX*12CPR 1G,"0000000002,000",O,g,"6,0000000000",12,SARDA PHARMACEUTICA Srl
0033317013,J07BC02,VAQTA*AD 1SIR 1ML 50U,"0000000001,000",P,f,"1,0000000000",1,MSD ITALIA Srl
0033633025,J01MA12,PRIXAR*10CPR RIV 250MG,"0000000000,500",O,g,"5,0000000000",10,SANOFI SpA
0033634066,J01MA12,TAVANIC*INFUS 1FL 500MG 100ML,"0000000000,500",P,g,"1,0000000000",1,SANOFI SpA
0033794013,L01DB07,MITOXANTRONE CRIN*EV 20MG 10ML,"0000000001,150",P,mg,"17,3910000000",1,CRINOS SpA
0033802012,J01CF05,FLUZERIT*12CPR RIV 500MG,"0000000002,000",O,g,,12,DE SALUTE Srl
0033863010,J06BB02,IGANTET*IM 1SIR 1ML 250UI,"0000000000,500",P,TU,"0,6000000000",1,GRIFOLS ITALIA SpA
0033648015,J01DC04,CEFACLOR EG*8CPS 500MG,"0000000001,000",O,g,,8,EG SpA
0033648027,J01DC04,CEFACLOR EG*OS GTT FL 20ML 1G,"0000000001,000",O,g,,1,EG SpA
0033929011,L02BB01,FLUTAMIDE HEXAL*30CPR 250MG,"0000000000,750",O,g,"10,0000000000",30,SANDOZ SpA
0033758032,J07AJ02,"PERTURIX*1SIR 0,5ML S/AGO",,,,,,SMITHKLINE BEECHAM SpA
0033766027,J01DC06,"BIOTICIC*IM FL 1G+F 2,5ML","0000000001,000",P,g,"1,0000000000",1,P.S. PHARMA Srl
0033658016,J07BB02,"INFLEXAL BERNA V*SIR 0,5ML 04-","0000000001,000",P,f,"1,0000000000",,BERNA BIOTECH ITALIA Srl
0033774011,J01DC06,"CEFONICID FIDIA*IM 1G+F 2,5ML","0000000001,000",P,g,,1,FIDIA FARMACEUTICI SpA
0033778010,L01DC01,BLEOMICINA CRIN*INIET 15U+5ML,"0000000004,300",P,TU,"3,4880000000",1,CRINOS SpA
0033958036,J01CA12,PIPERTEX*INIET 10F 4G,"0000000014,000",P,g,"2,8570000000",10,PHARMATEX ITALIA Srl
0034165023,J06BA02,"ENDOGAMMA*EV 1FL 2,5G/50ML",,,,,1,KEDRION SpA
0034126019,J07CA06,"PENTAVAC*1FL1D+SIR S/AGO 0,5ML","0000000001,000",P,f,"1,0000000000",1,SANOFI SpA
0034197069,J01MA11,VORZAN*1CPR RIV 600MG,"0000000000,400",O,g,,,OTSUKA PHARMA GMBH
0034197071,J01MA11,VORZAN*2CPR RIV 600MG,"0000000000,400",O,g,,,OTSUKA PHARMA GMBH
0034199099,J07BD52,PRIORIX*20FL POLV+20SIR SOLV C,"0000000001,000",P,f,"20,0000000000",20,GLAXOSMITHKLINE SpA
0034199137,J07BD52,"PRIORIX*25F POLV+25F SOLV0,5ML","0000000001,000",P,f,"25,0000000000",25,GLAXOSMITHKLINE SpA
0034199149,J07BD52,"PRIORIX*40F POLV+40F SOLV0,5ML","0000000001,000",P,f,"40,0000000000",40,GLAXOSMITHKLINE SpA
0034127098,J07CA02,"TETRAVAC*10SIR 0,5ML+10AGHI",,,,,,SANOFI SpA
0034199164,J07BD52,"PRIORIX*25FL POLV+25SIR 0,5ML","0000000001,000",P,f,"25,0000000000",25,GLAXOSMITHKLINE SpA
0034132023,J05AB01,ACICLOVIR*25CPR 400MG,"0000000004,000",O,g,,,FAGEN Srl
0034132035,J05AB01,ACICLOVIR*30CPR 400MG,"0000000004,000",O,g,,,FAGEN Srl
0034091064,L03AB07,REBIF*SC 12SIR 12MUI 44MCG,"0000000004,300",P,mcg,"122,7910000000",12,MERCK SERONO SpA
0034091140,L03AB07,REBIF*SC 1PEN 12MUI 44MCG,"0000000004,300",P,mcg,"10,2330000000",1,MERCK SERONO SpA
0034092027,J05AR01,COMBIVIR*60CPR RIV150+300MG FL,"0000000002,000",O,UD,"30,0000000000",,VIIV HEALTHCARE Srl
0034436042,J01MA14,AVALOX*25CPR RIV 400MG PP/AL,"0000000000,400",O,g,,25,BAYER SpA
0034436093,J01MA14,AVALOX*5CPR RIV 400MG AL/AL,"0000000000,400",O,g,"5,0000000000",5,BAYER SpA
0034436105,J01MA14,AVALOX*7CPR RIV 400MG AL/AL,"0000000000,400",O,g,,7,BAYER SpA
0034287033,J01DC04,CEFACLOR DOC*SOSP 100ML 125MG/,"0000000001,000",O,g,,1,DOC GENERICI Srl
0034457059,J07CA01,"REVAXIS*10SIR 1D 0,5ML S/AGO",,,,,10,SANOFI SpA
0034378012,L01XA02,CARBOPLATINO CRINOS*50MG 5ML,,,,,1,CRINOS SpA
0034459014,J05AP01,REBETOL*84CPS 200MG,"0000000001,000",O,g,"16,8000000000",84,MSD ITALIA Srl
0034381018,J01MB06,CINOCIL*20CPS 500MG,"0000000001,000",O,g,"10,0000000000",20,FARMA 1 Srl
0034316012,L01BC02,FLUOROURACILE HOSP*5F250MG/5ML,"0000000000,100",P,g,"12,5000000000",5,ICU MEDICAL ITALIA Srl
0034272029,J01CA06,AMPIBAC*12CPR RIV 800MG,"0000000001,200",O,g,,12,C.T. LAB.FARMACEUTICO Srl
0034332015,J01CA06,"BACREN*12CPR RIV 1,2G","0000000001,200",O,g,,12,GAMBAR LABORATORI Srl
0034282018,J01CA06,BACAMPICILLINA GE*12CPR 400MG,"0000000001,200",O,g,,12,GERMED PHARMA Srl
0034410023,L01CB01,ETOPOSIDE TEVA*FL 10ML 20MG/ML,"0000000000,036",P,g,"5,5560000000",1,TEVA ITALIA Srl
0034411025,L01XA03,ELOXATIN*IV FL POLV 100MG,"0000000010,900",P,mg,"9,1740000000",1,SANOFI SpA
0034565010,J01MA14,PROFLOX*5CPR RIV 400MG PP/AL,"0000000000,400",O,g,,5,BAYER SpA
0034634028,J01XA01,ZENGAC*IV OS 1FL 1000MG,"0000000002,000",P,g,"0,5000000000",1,FISIOPHARMA Srl
0034527109,L01AX03,TEMODAL*20CPS 140MG FL,,,,,20,MSD ITALIA Srl
0034527135,L01AX03,TEMODAL*5BUST 5CPS 20MG,"0000000360,000",O,mg,"0,2780000000",5,MSD ITALIA Srl
0034527147,L01AX03,TEMODAL*20BUST 20CPS 20MG,"0000000360,000",O,mg,"1,1110000000",20,MSD ITALIA Srl
0034610028,J01DC04,GENICLOR*GRATxSOSP 250MG/5ML,"0000000001,000",O,g,,1,BONISCONTRO & GAZZONE Srl
0034499018,J05AF06,ZIAGEN*60CPR RIV 300MG,"0000000000,600",O,g,"30,0000000000",60,VIIV HEALTHCARE Srl
0034500049,J07CA06,"QUINIVAXIN*1FL POLV+10FL 0,5ML",,,,,,VALDA LAB.FARMACEUTICO SpA
0034503019,J01CA06,BAPINAD*12CPR 1200MG,"0000000001,200",O,g,,12,MEDIOLANUM FARMACEUTICI SpA
0034619027,J01DC04,BACTIGRAM*8CPS 500MG,"0000000001,000",O,g,"4,0000000000",8,MAGIS FARMACEUTICI Srl
0034514036,J01DC04,NECLORAL*6CPR 750MG RM,"0000000001,000",O,g,"4,5000000000",6,NEW RESEARCH Srl
0034518023,J05AE01,FORTOVASE*3FL 180CPS 200MG,"0000000001,800",O,g,,,ROCHE SpA
0034864049,L01BC53,UFT*42CPS 100MG+224MG,"0000000005,000",O,cpr,"8,4000000000",42,MERCK SERONO SpA
0034702086,L04AA13,ARAVA*100CPR RIV 20MG FL,"0000000020,000",O,mg,"100,0000000000",100,SANOFI SpA
0034702098,L04AA13,ARAVA*3CPR RIV 100MG,"0000000020,000",O,mg,"15,0000000000",3,SANOFI SpA
0034704015,J07AL01,"STREPTOPUR*INIET 1SIR 0,5ML",,,,,,SANOFI PASTEUR MSD SpA
0034708014,J01DA09,CEFADROXIL M.G.*6CPR RIV 1G AL,"0000000002,000",O,g,,6,MERCK GENERICS ITALIA SpA
0034708091,J01DA09,CEFADROXIL M.G.*7CPR RIV 1G PP,"0000000002,000",O,g,,7,MERCK GENERICS ITALIA SpA
0034710018,J01DA04,CEFAZOLINA FAGEN*1FL 500MG,"0000000003,000",P,g,,1,FAGEN Srl
0034710107,J01DA04,CEFAZOLINA FAGEN*25FL 1G,"0000000003,000",P,g,,25,FAGEN Srl
0034832016,L03AB05,INTRONA*SC IV 1FL 1MUI+F SOLV,"0000000002,000",P,MU,"0,5000000000",,SCHERING PLOUGH Srl
0034879015,L01DB01,DOXORUBICINA SAND*FL 10MG 5ML,"0000000005,000",P,mg,"2,0000000000",1,SANDOZ SpA
0034832079,L03AB05,INTRONA*SC IV 6FL 10MUI+6F SOL,"0000000002,000",P,MU,,,SCHERING PLOUGH Srl
0034832105,L03AB05,INTRONA*SC IV 1FL 30MUI+F SOLV,"0000000002,000",P,MU,,,SCHERING PLOUGH Srl
0034832360,L03AB05,INTRONA*SC IV 8PEN 30MUI+96KIT,"0000000002,000",P,MU,"120,0000000000",,MSD ITALIA Srl
0034832372,L03AB05,INTRONA*SC IV 1PEN 60MUI+12KIT,"0000000002,000",P,MU,"30,0000000000",,MSD ITALIA Srl
0034832459,L03AB05,INTRONA*SC IV 2FL 18MUI/3ML,"0000000002,000",P,MU,"18,0000000000",2,MSD ITALIA Srl
0034832461,L03AB05,INTRONA*SC IV 12FL 18MUI/3ML,"0000000002,000",P,MU,"96,0000000000",12,MSD ITALIA Srl
0034832497,L03AB05,"INTRONA*SC IV 12FL 25MUI/2,5ML","0000000002,000",P,MU,"150,0000000000",12,MSD ITALIA Srl
0034835013,L03AB05,VIRAFERON*SC IV 1FL 1MUI+1F SO,"0000000002,000",P,MU,,,SCHERING PLOUGH Srl
0034835049,L03AB05,VIRAFERON*SC IV 1FL 5MUI+1F SO,"0000000002,000",P,MU,,,SCHERING PLOUGH Srl
0034835088,L03AB05,VIRAFERON*SC IV 10FL 10MUI+10F,"0000000002,000",P,MU,,,SCHERING PLOUGH Srl
0034879066,L01DB01,DOXORUBICINA SAND*10FL 10MG5ML,,,,,10,SANDOZ SpA
0034835189,L03AB05,VIRAFERON*SC IV 1FL 10MUI+1KIT,"0000000002,000",P,MU,,,SCHERING PLOUGH Srl
0034835278,L03AB05,VIRAFERON*SC IV 2FL 25MUI,"0000000002,000",P,MU,,,SCHERING PLOUGH Srl
0034738031,J05AB01,ACICLOVIR MY*25CPR 400MG,"0000000004,000",O,g,"2,5000000000",25,MYLAN SpA
0034739033,J05AB01,ILIACLOR*25CPR 400MG,"0000000004,000",O,g,,25,DEPO FARMA Srl
0034852044,L03AB10,PEGINTRON*SC 4FL 50MCG+4F+4KIT,"0000000007,500",P,mcg,"26,6670000000",4,MSD ITALIA Srl
0034852107,L03AB10,PEGINTRON*SC 6FL 80MCG+6F,"0000000007,500",P,mcg,"64,0000000000",6,MSD ITALIA Srl
0034852158,L03AB10,PEGINTRON*SC 6FL 100MCG+6F,"0000000007,500",P,mcg,"80,0000000000",6,MSD ITALIA Srl
0034852208,L03AB10,PEGINTRON*SC 6FL 120MCG+6F,"0000000007,500",P,mcg,"96,0000000000",6,MSD ITALIA Srl
0034852347,L03AB10,PEGINTRON*SC 12PEN 50MCG+12AGH,"0000000007,500",P,mcg,"80,0000000000",12,MSD ITALIA Srl
0034852350,L03AB10,PEGINTRON*SC 1PEN80MCG+1AGO+2T,"0000000007,500",P,mcg,"10,6670000000",1,MSD ITALIA Srl
0034675138,L04AB01,"ENBREL*SC 2SIR 50MG 0,5ML+4TAM","0000000007,000",P,mg,"14,2850000000",2,PFIZER Srl
0034678019,L02BG06,AROMASIN*15CPR RIV 25MG,"0000000025,000",O,mg,"15,0000000000",15,PFIZER ITALIA Srl
0034854176,L03AB10,VIRAFERONPEG*1FL 120MCG+1KIT,"0000000007,500",P,mcg,"16,0000000000",1,MSD ITALIA Srl
0034854238,L03AB10,VIRAFERONPEG*4FL 150MCG+4F,"0000000007,500",P,mcg,"80,0000000000",4,MSD ITALIA Srl
0034854341,L03AB10,VIRAFERONPEG*SC 12PEN 50MCG+12,"0000000007,500",P,mcg,"80,0000000000",12,MSD ITALIA Srl
0034813081,J07AJ52,BOOSTRIX*IM SOSP 20SIR S/AGO,"0000000001,000",P,f,"20,0000000000",20,GLAXOSMITHKLINE SpA
0034992026,J01DD01,CEFOTAXIME PFI*IMEV FL500MG+FL,"0000000004,000",P,g,"0,1250000000",1,PFIZER ITALIA Srl
0034992040,J01DD01,CEFOTAXIME PFI*IM FL 1G+F 4ML,"0000000004,000",P,g,"0,2500000000",1,PFIZER ITALIA Srl
0034931016,J01DB04,CEFAZOLINA*IM 1FL 500MG+1F 2ML,"0000000003,000",P,g,,1,ALTASELECT Srl
0034931028,J01DB04,CEFAZOLINA*IV 1FL 500MG+1F10ML,"0000000003,000",P,g,,1,ALTASELECT Srl
0034999019,J01DD01,CEFOTAXIME ACS*IM IV 1F250MG+F,,,,,1,ACS DOBFAR SpA
0035047012,J01DC06,"CEFONICID UNION*IM 1G+F 2,5ML","0000000001,000",P,g,,1,UNION HEALTH Srl
0035049016,J01DC06,"CEFONICID PUL*IM FL 1G+F 2,5ML","0000000001,000",P,g,,1,PULITZER ITALIANA Srl
0035053065,J07AL02,"PREVENAR*IM 1SIR 0,5ML+AGO","0000000001,000",P,f,"1,0000000000",1,PFIZER ITALIA Srl
0034933059,J07AL01,"PNEUMOVAX*INIET 10SIR 0,5ML","0000000001,000",P,f,"10,0000000000",,SANOFI PASTEUR MSD SpA
0035004035,J01XA01,VANCOMICINA HIKMA*4CPS 250MG,,O,,"0,5000000000",4,HIKMA ITALIA SpA
0035056011,J01XA01,VANCOMICINA B&G*IV 1FL 500MG,"0000000002,000",P,g,,1,BONISCONTRO & GAZZONE Srl
0035056023,J01XA01,VANCOMICINA B&G*IV 1FL 1G,"0000000002,000",P,g,,1,BONISCONTRO & GAZZONE Srl
0035058015,L02BA01,TAMOXIFENE AURO*30CPR RIV 10MG,"0000000020,000",O,mg,"15,0000000000",30,AUROBINDO PHARMA ITALIA Srl
0035012018,J01DC06,CEFONICID DOC*IM FL 500MG+F2ML,"0000000001,000",P,g,,1,DOC GENERICI Srl
0035093018,J07BB02,"VIROFLUSOMA*SIR 0,5ML 04-05",,,,,,BERNA BIOTECH ITALIA Srl
0035093020,J07BB02,"VIROFLUSOMA*10SIR 0,5ML 04-05",,,,,,BERNA BIOTECH ITALIA Srl
0035029014,J07AG52,"QUATTVAXEM*IM 1FL 0,5ML",,,,,,NOVARTIS VACCINES AND DIAG.Srl
0034960043,J07CA09,INFANRIX HEXA*IM 50FL+50SIR,"0000000001,000",P,f,"50,0000000000",50,GLAXOSMITHKLINE SpA
0034960070,J07CA09,INFANRIX HEXA*IM 20FL+40SIR,"0000000001,000",P,f,"20,0000000000",20,GLAXOSMITHKLINE SpA
0035032061,J07BK01,VARIVAX*1FL POLV+1SIR SOLV+2AG,"0000000001,000",P,f,"1,0000000000",1,MSD ITALIA Srl
0034961021,J07CA12,"INFANRIX PENTA*IM 10SIR 0,5ML","0000000001,000",P,f,"10,0000000000",,GLAXOSMITHKLINE SpA
0034962047,J01DD01,REFOTAX*IV 1FL 2G+F 10ML,"0000000004,000",P,g,"0,5000000000",1,FARMA 1 Srl
0035120043,L04AA10,RAPAMUNE*OS 30BUST 2ML,"0000000003,000",O,mg,,30,WYETH LEDERLE SpA
0034941043,J01MA06,NORFLOXACINA SAND*14CPR 400MG,"0000000000,800",O,g,"7,0000000000",14,SANDOZ SpA
0034891046,J05AB01,IMMUNOVIR*OS SOSP 100ML 400MG/,"0000000004,000",O,g,,1,SIGMATAU GENERICS Srl
0034949014,L01XC03,HERCEPTIN*EV 1FL 150MG,"0000000020,000",P,mg,"7,5000000000",1,ROCHE SpA
0034950016,J05AE05,AGENERASE*1FL 480CPS 50MG,"0000000001,200",O,g,,,GLAXOSMITHKLINE SpA
0034985010,J01XA01,FARMACICLIN*IV OS 1FL 500MG,"0000000002,000",P,g,,1,FARMA 1 Srl
0035180025,J07AL01,"PNEUMOPUR*10F SIR 0,5ML 1D",,,,,,CHIRON Srl
0035187069,J05AR10,KALETRA*60CPR RIV100MG+25MG FL,"0000000000,800",O,g,"7,5000000000",60,ABBVIE Srl
0035222013,J01CA04,AMOXICILLINA RANB*12CPR SOL 1G,"0000000001,500",O,g,"8,0000000000",12,RANBAXY ITALIA SpA
0035235023,J01DC06,"CEFONICID ABC*IM FL 1G+F 2,5ML","0000000001,000",P,g,"1,0000000000",1,ABC FARMACEUTICI SpA
0035306024,J01DD01,DELIUS*IM IV 1G/4ML+1F 4ML,"0000000004,000",P,g,"0,2500000000",1,S.F. GROUP Srl
0035127012,J01FF01,CLIDAXIN*INIET 1F 4ML 600MG,,,,,1,FISIOPHARMA Srl
0035262017,J07BC01,"HBVAXPRO*IM 1FL 5MCG/0,5ML","0000000001,000",P,f,"1,0000000000",1,MSD ITALIA Srl
0035262070,J07BC01,HBVAXPRO*IM 1FL 10MCG/ML,"0000000001,000",P,f,"1,0000000000",1,MSD ITALIA Srl
0035262082,J07BC01,HBVAXPRO*IM 10FL 10MCG 1ML,"0000000001,000",P,f,"10,0000000000",10,MSD ITALIA Srl
0035262171,J07BC01,HBVAXPRO*IM 1SIR 40MCG/ML S/A,,,,,1,SANOFI PASTEUR MSD SpA
0035262183,J07BC01,"HBVAXPRO*IM 10FL 5MCG/0,5ML","0000000001,000",P,f,"10,0000000000",10,MSD ITALIA Srl
0035262221,J07BC01,"HBVAXPRO*IM 1SIR 5MCG/0,5ML+2A","0000000001,000",P,f,"1,0000000000",1,MSD ITALIA Srl
0035262258,J07BC01,"HBVAXPRO*IM 10SIR 5MCG/0,5ML+2","0000000001,000",P,f,"10,0000000000",10,MSD ITALIA Srl
0035262296,J07BC01,HBVAXPRO*IM 10SIR 10MCG1ML+2AG,"0000000001,000",P,f,"10,0000000000",10,MSD ITALIA Srl
0035159019,L01BC02,FLUOROURACILE BAX*10FL250MG/5M,,,,,1,BAXTER SpA
0035274012,L04AA34,MABCAMPATH*EV 3F 3ML 10MG/ML,"0000000000,130",P,mg,"692,3080000000",3,GENZYME Srl
0035410190,J01XX08,ZYVOXID*50CPR RIV 400MG,"0000000001,200",O,g,"16,6670000000",50,PFIZER ITALIA Srl
0035410354,J01XX08,ZYVOXID*FL 100CPR RIV 600MG,"0000000001,200",O,g,"50,0000000000",100,PFIZER ITALIA Srl
0035411192,J01XX08,LINEZOLID PHA*50CPR RIV 400MG,"0000000001,200",O,g,,50,PHARMACIA ITALIA SpA
0035411228,J01XX08,LINEZOLID PHA*10CPR RIV 600MG,"0000000001,200",O,g,,10,PHARMACIA ITALIA SpA
0035412117,J01XX08,GABRIOX*FL 24CPR RIV 400MG,"0000000001,200",O,g,,24,PHARMACIA ITALIA SpA
0035412194,J01XX08,GABRIOX*50CPR RIV 400MG,"0000000001,200",O,g,,50,PHARMACIA ITALIA SpA
0035372010,L01XE01,GLIVEC*30CPS 50MG,"0000000000,500",O,g,"3,0000000000",30,NOVARTIS FARMA SpA
0035374038,J01DD01,CEFOTAXIMA TEVA*IM IV 1F 1G+F,"0000000004,000",P,g,"0,2500000000",1,TEVA ITALIA Srl
0035374040,J01DD01,CEFOTAXIMA TEVA*IM 1F 1G+F 4ML,"0000000004,000",P,g,"0,2500000000",1,TEVA ITALIA Srl
0035375029,J01DD01,CEFOTAXIMA ABC*IM FL 1G/4ML+1F,"0000000004,000",P,g,"0,2500000000",1,ABC FARMACEUTICI SpA
0035436070,J07AH07,MENJUGATE*SOSP INIET1SIR 10MCG,"0000000001,000",P,f,"5,0000000000",1,GSK VACCINES Srl
0035436118,J07AH07,MENJUGATE*SOSP INIET 5FL 10MCG,"0000000001,000",P,f,"5,0000000000",5,GSK VACCINES Srl
0035437019,J07AH07,"MENINVACT*FL POLV+FL 0,5MLSOLV",,,,,,SANOFI PASTEUR MSD SpA
0035438011,J07AH07,"MENINGITEC*INIET 1FL 0,5ML","0000000001,000",P,f,"1,0000000000",,WYETH LEDERLE SpA
0035438050,J07AH07,MENINGITEC*INIET 10SIR S/AGO,"0000000001,000",P,f,"10,0000000000",,NURON BIOTECH B.V.
0035441029,J01DD01,CEFOTAXIMA EG*INIET FL 1G+F4ML,"0000000004,000",P,g,,1,EG SpA
0035628332,J02AC03,VFEND*30CPR RIV 50MG,"0000000000,400",O,g,"3,7500000000",30,PFIZER ITALIA Srl
0035628344,J02AC03,VFEND*50CPR RIV 50MG,"0000000000,400",O,g,"6,2500000000",50,PFIZER ITALIA Srl
0035607011,L04AC03,"KINERET*SC 1SIR 100MG 0,67ML","0000000000,100",P,g,"1,0000000000",1,SWEDISH ORPHAN BIOVITRUM Srl
0035669047,J01DD04,CEFTRIAXONE GSK*EV FL1G+1F10ML,"0000000002,000",P,g,"0,5000000000",1,GLAXOSMITHKLINE SpA
0035562026,L02AE04,"GONAPEPTYL DEPOT*3SIR 3,75MG+S","0000000000,134",P,mg,"83,9550000000",3,FERRING SpA
0035610043,L04AD01,SANDIMMUN NEORAL*30CPS 100MG,"0000000000,250",O,g,"12,0000000000",30,PROGRAMMI SANIT.INTEGRATI Srl
0035610056,L04AD01,SANDIMMUN NEORAL*50CPS 50MG,"0000000000,250",O,g,"10,0000000000",50,PROGRAMMI SANIT.INTEGRATI Srl
0035712013,L01XX27,TRISENOX*EV 10F 10ML 1MG/ML,"0000000001,000",P,f,"10,0000000000",10,TEVA ITALIA Srl
0035565086,J05AF07,VIREAD*30CPR RIV 204MG FL,"0000000000,245",O,g,"24,9790000000",30,GILEAD SCIENCES Srl
0035716036,L03AA13,"NEULASTA*SC 1SIR 6MG 0,6ML","0000000000,300",P,mg,"20,0000000000",1,AMGEN Srl
0035679024,J01MA17,CHINOPLUS*2CPR RIV 600MG,"0000000000,600",O,g,"2,0000000000",2,SPA (SOC.PRO.ANTIBIOTICI) SpA
0035680038,J01MA17,KERAFLOX*5CPR RIV 600MG,"0000000000,600",O,g,"5,0000000000",5,CRINOS SpA
0035683135,L03AB11,"PEGASYS*SC 4PEN 0,5ML 180MCG","0000000026,000",P,mcg,"27,6920000000",4,ROCHE SpA
0035686017,J07BC20,AMBIRIX*IM SIR 20MCG/ML 1ML,,,,,,GLAXOSMITHKLINE SpA
0035721024,J05AB15,VIRUSELECT*35CPR 125MG,"0000000000,125",O,g,,35,LABORATORI GUIDOTTI SpA
0035902042,J01DD04,CEFTRIAXONE SAND*IV 1G+F 10ML,"0000000002,000",P,g,"0,5000000000",1,SANDOZ SpA
0035905052,J01DD04,CEFTRIAXONE RANB*EV FL 2G,"0000000002,000",P,g,"1,0000000000",1,RANBAXY ITALIA SpA
0035906039,J01DD04,"CEFTRIAXONE KABI*IM 1G+F 3,5ML","0000000002,000",P,g,"0,5000000000",1,FRESENIUS KABI ITALIA Srl
0035801024,J01DD04,ERAXITRON*IV FL 1G/10ML+F 10ML,"0000000002,000",P,g,,1,IST.BIO.NAZ.SAVIO Srl
0035917018,J01DD04,DEIXIM*IM 1FL 500MG/2ML+F 2ML,"0000000002,000",P,g,"0,2500000000",1,BIOMEDICA FOSCAMA GROUP SpA
0035921028,J01DD04,"CEFTAGES*1F IM 1G+1F3,5ML","0000000002,000",P,g,"0,5000000000",1,GESTIPHARM Srl
